Name;Description;RecipeCategory;Calories;FatContent;SaturatedFatContent;CholesterolContent;SodiumContent;CarbohydrateContent;FiberContent;SugarContent;ProteinContent
Chicken With Portabella Mushrooms-;For extra richness, finish with a Tablespoon of butter, My suggestion  is to serve with a nice pasta side,  salad and fresh baked bread.;Chicken Breast;521.0;27.4;5.8;92.8;96.9;32.8;2.2;3.0;35.2
"Low-Fat Apple &amp; Apricot";"Make and share this Low-Fat Apple &amp; Apricot recipe from Food.com.";Dessert;164.5;0.3;0.0;0.0;7.9;42.4;2.5;35.5;1.4
Chicken, Mozzarella & Pepper Tarts;Make and share this Chicken, Mozzarella & Pepper Tarts recipe from Food.com.;Poultry;54.8;3.8;1.7;16.0;72.5;0.7;0.1;0.4;4.3
Cola Fruit and Date Loaf;"--Adopted Recipe--  The original submitter says that this fruity loaf showed up in Coke and Seven-Up cookbooks. The recipe was adapted  from &quot;Cooking With Coke&quot; - a publication of the Coca Cola Company.  Be sure to make a day ahead of time, because it is best the next day.";Quick Breads;267.0;6.2;0.7;17.6;150.0;51.4;2.6;32.2;3.6
Coca-Cola Cake;Make and share this Coca-Cola Cake recipe from Food.com.;Dessert;1012.3;44.7;8.8;47.1;1006.8;148.8;2.8;116.3;9.2
Chicken-Fried Steak With Cracked Pepper Gravy;Make and share this Chicken-Fried Steak With Cracked Pepper Gravy recipe from Food.com.;Steak;1635.7;147.3;34.5;241.1;1017.8;46.0;1.9;0.3;32.9
Claudi Sanders' Refrigerator Rolls;Make and share this Claudi Sanders' Refrigerator Rolls recipe from Food.com.;Healthy;329.0;10.6;3.1;5.7;201.2;51.3;1.6;8.5;6.9
$20,000 Prize-Winning Chili Con Carne;Make and share this $20,000 Prize-Winning Chili Con Carne recipe from Food.com.;Pork;558.1;16.8;5.0;133.8;1004.2;38.5;10.0;13.8;55.6
Chilies Corn Muffins;Make and share this Chilies Corn Muffins recipe from Food.com.;Quick Breads;163.6;5.3;0.8;17.8;155.6;26.2;0.9;9.2;3.1
Classic Cream Scones;You're best off describing scones to a German by saying that they are like a   cross between a Kuchen (cake), a Plaetzchen (cookie), and a Broetchen   (roll), but are very unique and not really like anything else found in   Germany. My German husband *loves* this recipe:  Classic Cream Scones   (from Simply Scones, by Leslie Weiner and Barbara Albright);Scones;168.2;8.1;4.9;36.5;82.4;21.5;0.8;7.2;2.7
Chinese Chicken;Make and share this Chinese Chicken recipe from Food.com.;Whole Chicken;373.4;21.8;6.3;103.5;491.8;13.5;2.3;1.2;28.0
Classic Chicken and Coconut Soup;Make and share this Classic Chicken and Coconut Soup recipe from Food.com.;Chicken Breast;587.8;52.0;41.2;46.4;836.8;11.8;0.1;0.9;24.5
Chinese Hot and Sour Chicken Noodle Salad;Make and share this Chinese Hot and Sour Chicken Noodle Salad recipe from Food.com.;Chicken Breast;340.7;12.7;2.5;30.9;375.7;45.0;9.2;1.1;15.9
Clam - Lobster Bake;Even if you don't live at the beach, you can enjoy an impressive backyard clambake. Simply substitute a combination of greens and damp cheesecloth for seaweed, firewood for driftwood and heavy duty aluminum foil for the traditional sand covering.  About 12 lbs. of mixed greens (collard greens, kale, etc.) and 15 yards of cheesecloth will hold in moisture as food cooks. Three rolls of heavy duty 37 1/2  ft. aluminum foil will both line and seal pit;Lobster;990.1;30.8;8.4;357.7;704.2;71.1;7.3;9.6;107.2
Civil War Cake;Someone was looking for a cake that didn't have any milk in it.  Well I found this one of my mothers. It is got to be over 67 years old. It is really good it tastes like a spice cake.    Civil War Cake   (or-Eggless, Butterless, Milkless Cake);Dessert;871.4;26.6;6.6;0.0;616.1;155.8;3.9;83.8;8.1
Chinese Hot and Sour Pork Soup;Make and share this Chinese Hot and Sour Pork Soup recipe from Food.com.;Pork;368.7;13.0;2.9;31.1;1459.3;32.1;3.0;10.5;31.6
Citrus Glazed Barbecued Pork Loin;Make and share this Citrus Glazed Barbecued Pork Loin recipe from Food.com.;Pork;835.8;50.8;13.1;136.1;3187.2;47.0;2.6;30.9;46.7
Citrus Chicken;Make and share this Citrus Chicken recipe from Food.com.;Chicken Breast;167.7;10.2;2.4;46.4;46.1;3.6;0.1;2.2;15.3
Citrus Baked Halibut;Make and share this Citrus Baked Halibut recipe from Food.com.;Halibut;755.0;22.2;8.8;176.1;918.0;36.8;1.9;29.4;97.7
Chinese Plum Sauce;Make and share this Chinese Plum Sauce recipe from Food.com.;Sauces;316.1;1.0;0.1;0.0;295.1;79.7;5.6;71.9;2.8
Chinese Meatballs;Make and share this Chinese Meatballs recipe from Food.com.;Pork;230.3;11.1;2.6;115.4;1114.8;7.0;0.3;1.4;23.9
Cinnamon Curry Rice;Make and share this Cinnamon Curry Rice recipe from Food.com.;Rice;3892.1;94.2;39.2;269.6;630.4;647.4;42.6;39.6;110.7
Chocolate Almond Scones;Make and share this Chocolate Almond Scones recipe from Food.com.;Scones;375.0;21.1;10.9;89.8;443.9;41.0;2.5;10.3;7.6
Cinnamon Apple Salad;Make and share this Cinnamon Apple Salad recipe from Food.com.;Apple;237.0;17.4;5.9;31.2;228.8;19.2;1.0;10.1;3.0
Chunky Tomato Cheese Pie;Make and share this Chunky Tomato Cheese Pie recipe from Food.com.;Cheese;444.6;28.8;14.0;56.1;1340.5;29.4;2.2;5.7;17.6
Chocolate Bread and Butter Pudding;I copied this out of a  magazine yesterday while at the hairdresser, being made more beautiful (Grin);Dessert;433.4;22.4;12.7;136.8;378.1;46.8;1.7;22.1;10.7
Christmas Snow Punch;Here is a punch recipe that we used at my in-laws 50th Anniversary open house.  CHRISTMAS SNOW PUNCH;Punch Beverage;42.0;2.0;1.2;7.9;15.7;5.8;0.1;5.2;0.6
Christmas Cranberry Salad;Make and share this Christmas Cranberry Salad recipe from Food.com.;Low Protein;316.9;15.9;7.3;40.8;100.3;44.9;2.5;35.5;2.3
Chocolate Caramels;Make and share this Chocolate Caramels recipe from Food.com.;Broil/Grill;349.2;18.3;8.0;28.5;149.1;47.7;2.0;35.4;3.2
Chocolatey Raisin Chip Cookies;Make and share this Chocolatey Raisin Chip Cookies recipe from Food.com.;Drop Cookies;83.5;3.1;0.6;0.1;28.2;13.5;0.5;8.7;1.2
Chocolate-Chocolate Cupcakes;Make and share this Chocolate-Chocolate Cupcakes recipe from Food.com.;Dessert;155.2;4.5;1.2;23.4;186.8;28.2;0.8;19.8;2.4
Crock Pot Chocolate Zucchini Nut Bread;"This is an adopted recipe.  Directions refer to a &quot;bread insert.&quot;  If you don't have the manufacturer's baking insert with a lid, you can use an 2 pound metal coffee can. Use a double thickness of paper towels as a can cover.";Quick Breads;2867.8;120.7;32.5;429.4;1447.9;414.9;18.0;205.0;47.4
Chocolate Cashew Spread;Make and share this Chocolate Cashew Spread recipe from Food.com.;Spreads;1833.6;170.7;79.3;244.0;676.8;74.4;7.6;37.4;25.1
Chocolate Chip Cheesecake Dip;Make and share this Chocolate Chip Cheesecake Dip recipe from Food.com.;Dessert;779.0;61.9;38.6;179.6;388.9;48.9;2.4;38.5;11.6
Chocolate Chip Cookie Pizza;Make and share this Chocolate Chip Cookie Pizza recipe from Food.com.;Dessert;264.2;11.2;4.3;10.8;96.6;38.9;1.2;9.4;2.6
Chocolate Zucchini Cake;Make and share this Chocolate Zucchini Cake recipe from Food.com.;Dessert;552.1;22.1;11.5;86.3;334.5;87.0;2.5;68.3;5.9
Chocolate Zucchini Bread;Make and share this Chocolate Zucchini Bread recipe from Food.com.;Quick Breads;501.2;24.2;3.7;55.8;392.8;67.6;2.7;40.9;6.3
Chocolate Chip Muffins;When I find my bananas getting too ripe I freeze them for later use.  Just thaw them in the microwave when you want to use.  Here is a recipe for chocolate chip muffins that uses one banana. They even taste healthy :-);Quick Breads;264.6;11.2;6.5;51.6;139.4;38.8;2.2;17.8;5.0
Chocolate Triumph of Gluttony Cake;Recipe Courtesy of Nick Malgeri, Director Baking Program,  Peter Kumps Cooking School  PAN DI SPAGNA;Dessert;466.1;31.2;13.2;109.0;52.1;44.2;5.5;23.9;10.7
Chocolate Chip Squares;Make and share this Chocolate Chip Squares recipe from Food.com.;Bar Cookie;439.4;24.4;14.8;72.3;164.2;56.2;2.0;41.4;4.0
Chocolate Tapioca Pudding;Make and share this Chocolate Tapioca Pudding recipe from Food.com.;Dessert;230.5;8.4;5.0;42.1;102.2;36.1;1.2;25.3;5.5
Chocolate Chip Shortbread;Make and share this Chocolate Chip Shortbread recipe from Food.com.;Dessert;111.7;7.0;4.3;13.8;1.1;11.1;0.6;5.0;1.1
Chocolate Chunk and Walnut Brownies;Make and share this Chocolate Chunk and Walnut Brownies recipe from Food.com.;Bar Cookie;247.2;18.6;8.9;34.7;41.4;22.2;3.5;9.7;4.8
Chocolate Pudding;Make and share this Chocolate Pudding recipe from Food.com.;Dessert;6860.2;60.2;36.6;129.4;3659.8;1579.0;74.8;1092.1;118.9
Chocolate Coffee;Make and share this Chocolate Coffee recipe from Food.com.;Beverages;308.3;19.3;11.9;29.9;43.5;20.3;3.1;11.5;5.0
Chocolate Pudding II;Make and share this Chocolate Pudding II recipe from Food.com.;Dessert;305.4;12.6;7.3;113.7;263.7;46.1;1.6;33.5;5.8
Fudgy Chocolate Crinkle Cookies;Make and share this Fudgy Chocolate Crinkle Cookies recipe from Food.com.;Dessert;298.7;11.9;3.6;52.9;137.7;46.8;1.6;32.6;4.1
Chocolate Cream Puffs;Make and share this Chocolate Cream Puffs recipe from Food.com.;Dessert;235.8;14.7;8.6;117.2;115.2;20.9;0.7;11.6;5.4
Chocolate Cream Meringue Pie;Make and share this Chocolate Cream Meringue Pie recipe from Food.com.;Pie;456.1;23.4;11.4;101.3;425.1;56.4;2.4;34.8;7.8
Chocolate Cream Easter Eggs;Make and share this Chocolate Cream Easter Eggs recipe from Food.com.;Dessert;1362.3;57.8;36.5;152.7;992.7;214.4;0.6;0.1;7.8
Chocolate Cream Cheese Pie;Make and share this Chocolate Cream Cheese Pie recipe from Food.com.;Pie;299.7;18.7;10.3;13.1;214.3;31.5;0.5;22.7;2.7
Chocolate Cream Brulee;Make and share this Chocolate Cream Brulee recipe from Food.com.;Dessert;588.1;35.5;21.0;102.1;53.3;66.9;1.9;14.3;5.9
Chicken Curry II;This is a very mild chicken curry, very suitable for children. My daughter loved it from the age of 9 months and 18 years later it is still a family favourite. You need to start it the day before but don't let that put you off. It couldn't be more simple to make. We serve the curry and rice as a complete meal, having a big plateful each (about 1-1/2 cup rice each and one cup of the curry).;Whole Chicken;376.3;21.9;7.2;97.5;544.8;17.3;1.0;3.5;26.1
Chicken Giblets or Livers;Giblets :  The edible inner parts of poultry, including the gizzard, heart, liver and kidneys ....... This recipes was devised to use up all the giblets left over from home slaughtered chickens!  You can use either giblets or just livers in this recipe.  However, the cooking time for giblets is longer than that for livers.  Giblets need 15 - 20 minutes, but the livers should be added only 5 - 8 minutes before serving.  Have lots of fresh bread and rolls on hand to dip into the sauce!;Chicken Livers;506.5;27.5;7.2;599.9;196.5;12.5;1.1;2.7;45.5
Chicken Fried Brown Rice;Make and share this Chicken Fried Brown Rice recipe from Food.com.;< 30 Mins;355.9;9.8;1.5;36.3;645.2;46.2;6.5;4.7;20.3
"&quot;any&quot; Muffins";"Make and share this &quot;any&quot; Muffins recipe from Food.com.";Quick Breads;198.1;6.4;3.2;28.0;183.7;30.3;0.7;8.4;4.5
Amber and Zach's Kisses;Make and share this Amber and Zach's Kisses recipe from Food.com.;Dessert;42.6;0.0;0.0;0.0;28.4;10.5;0.0;10.4;0.5
Swiss Crab Melt;Make and share this Swiss Crab Melt recipe from Food.com.;Lunch/Snacks;447.6;17.3;10.5;99.1;1312.7;30.5;2.8;4.2;41.3
Lee's Hot Crab Dip;Make and share this Lee's Hot Crab Dip recipe from Food.com.;Crab;180.7;15.2;8.1;55.5;397.3;3.0;0.0;1.8;8.2
Grilled Avocado Toast;Make and share this Grilled Avocado Toast recipe from Food.com.;Lunch/Snacks;3807.3;102.6;16.9;0.0;5279.2;605.9;40.8;33.6;126.5
Mustard Dill Sauce I;Make and share this Mustard Dill Sauce I recipe from Food.com.;Low Protein;921.1;76.5;9.6;0.0;935.7;58.6;3.4;53.0;4.5
Cucumber Pita Wedges;Make and share this Cucumber Pita Wedges recipe from Food.com.;Lunch/Snacks;374.2;20.6;12.6;62.4;490.9;37.7;1.7;2.1;10.2
Thai Chicken Curry;Make and share this Thai Chicken Curry recipe from Food.com.;Chicken Breast;572.8;38.6;23.7;85.1;1163.0;32.2;4.1;1.8;27.2
Thai Chicken Noodles;Make and share this Thai Chicken Noodles recipe from Food.com.;Chicken Breast;616.9;5.0;1.0;151.2;780.5;96.3;4.0;12.4;43.9
Sorrel Tarragon Sauce;Make and share this Sorrel Tarragon Sauce recipe from Food.com.;Weeknight;706.3;62.5;19.1;90.3;933.4;36.3;0.7;11.9;5.3
Thai Cucumber Salad;Make and share this Thai Cucumber Salad recipe from Food.com.;Vegetable;39.4;1.3;0.2;0.0;697.0;7.3;1.4;3.0;1.7
Lime Pistachio Bars;Make and share this Lime Pistachio Bars recipe from Food.com.;Bar Cookie;147.1;7.6;4.0;41.7;15.7;17.9;0.5;10.6;2.3
London Bars;Welcome to one of my adopted recipes. I have yet to make this, but I hear it is good, yet needs a tweak or two, based on a very helpful reviewer.  When I do make it, I may try adding the pecans to the crust and sprinkling a few on top of the meringue for a garnish.***ADOPTED AGAIN***;Bar Cookie;69.4;2.8;1.4;15.4;22.6;10.4;0.2;6.0;0.9
Stewed Jimmy Crabs;This is a traditional watermen's meal, relished for its flavor and the respite it affords wives for picking crab meat. The eater, you see, does his own crab meat picking.  There is no etiquette, by the way, to the eating.  Just dig in.;Crab;484.5;6.2;1.9;72.8;1146.8;82.2;10.2;4.9;26.0
Ann's Blooming Lovely Chocolate Cheesecake;Make and share this Ann's Blooming Lovely Chocolate Cheesecake recipe from Food.com.;Cheesecake;388.3;20.3;4.3;0.0;528.5;46.1;3.8;10.1;11.6
Chinese Style Sauteed Firm Tofu;This is an adopted recipe that I have not yet had the chance to try. Please review and add comments should you try this before I do (or after, of course!) Thanks!;Soy/Tofu;233.2;14.1;2.4;0.0;701.0;13.8;3.5;7.6;16.3
Chesapeake Bay Crab Salad;Make and share this Chesapeake Bay Crab Salad recipe from Food.com.;Crab;165.0;6.0;0.8;51.4;1465.6;6.0;0.8;1.8;21.4
Crab Bisque Chincoteague;Make and share this Crab Bisque Chincoteague recipe from Food.com.;Crab;605.7;48.2;29.9;198.4;898.5;14.7;0.2;0.4;24.9
Maryland Pavilion Crab Cakes;Make and share this Maryland Pavilion Crab Cakes recipe from Food.com.;Crab;106.8;3.7;0.8;95.0;788.7;1.4;0.0;0.4;16.0
Crabapple Jelly;Make and share this Crabapple Jelly recipe from Food.com.;Jellies;671.4;0.8;0.1;0.0;2.7;174.3;0.0;119.9;1.1
Trifle;After steamed puddings, trifle is the most traditional of English Christmas  desserts. The cake base uses only egg white substitutes, while the custard  eliminates eggs completely.;Dessert;253.8;3.9;0.4;0.0;172.5;48.9;3.9;27.9;6.2
Suffolk Trifle (English);Okay, this isn't my recipe, although I do intend on making it soon.  It's one of the ones I acquired when the elves were clearing out the Recipezaar account.  Please tell me what it's like if you make it.;Dessert;625.7;43.4;25.0;210.8;142.4;49.5;1.7;37.8;7.8
Twice-Baked Potatoes (Microwave);Make and share this Twice-Baked Potatoes (Microwave) recipe from Food.com.;Potato;154.5;9.1;4.9;21.5;257.0;16.1;1.4;0.7;2.7
Twice Baked Potatoes;Make and share this Twice Baked Potatoes recipe from Food.com.;Potato;186.0;8.8;5.3;49.3;156.8;21.6;1.9;1.0;5.7
Spiced Pear Butter;Make and share this Spiced Pear Butter recipe from Food.com.;Pears;851.6;0.8;0.1;0.0;10.0;221.9;17.1;189.6;2.2
Lemon Curried Lamb Chops;Make and share this Lemon Curried Lamb Chops recipe from Food.com.;Lamb/Sheep;381.7;34.1;16.7;93.2;696.8;2.9;0.6;0.8;15.9
Lemon Mint Lamb Chops;Make and share this Lemon Mint Lamb Chops recipe from Food.com.;Lamb/Sheep;706.5;62.2;29.6;171.1;189.7;5.5;1.6;1.3;31.6
Winter Pear Butter;Smooth, delicate pear butter is delicious on toast, popovers, biscuits and other light breads. Try it on waffles and pancakes, too.;Pears;2059.7;2.2;0.1;0.0;23.5;484.4;57.0;379.9;7.0
Meatballs in Cheese Pastry;Make and share this Meatballs in Cheese Pastry recipe from Food.com.;Cheese;273.2;21.1;11.5;68.1;270.5;14.1;0.7;0.1;7.0
Basic Habanero Sauce;WARNING, WHEN HANDLING HABENEROS, WEAR RUBBER GLOVES AND GLASSES or GOGGLES.  WHEN COOKING ALWAYS COVER, OR USE THE STOVE'S VENT FAN.       Basic Habenero Sauce;Low Protein;55.0;2.0;0.3;0.0;12.6;8.5;1.4;4.5;1.5
Greek Phyllo Seafood Rolls;From spanakopita to baklava, the Greeks know how to use phyllo! Here the flaky dough encloses a mixture of spinach, cheese and shrimp, lightly seasoned with lemon. The rolls are easy to make and delicious to eat, particularly with a  Greek salad of tomatoes, feta, olives and bell peppers alongside.;Savory Pies;527.4;25.6;13.0;112.1;978.9;53.5;5.1;3.6;22.4
Ouzo-Marinated Greek Cheese;Make and share this Ouzo-Marinated Greek Cheese recipe from Food.com.;Cheese;121.3;13.5;1.9;0.0;0.9;0.5;0.2;0.0;0.1
Greek Spinach Triangles;Make and share this Greek Spinach Triangles recipe from Food.com.;Vegetable;163.2;8.4;4.4;26.3;264.6;18.0;1.0;0.6;4.0
Grand Marnier Cake;Make and share this Grand Marnier Cake recipe from Food.com.;Dessert;641.3;35.8;19.4;144.5;536.2;65.4;1.4;39.1;16.4
Spanish Potato Omelet (Tortilla a la Espanola);Make and share this Spanish Potato Omelet (Tortilla a la Espanola) recipe from Food.com.;Breakfast;848.0;59.1;9.1;186.0;95.7;68.3;8.8;4.7;14.2
French Pecan Pie;Make and share this French Pecan Pie recipe from Food.com.;Pie;207.8;10.2;0.9;0.0;36.9;28.2;1.4;25.8;2.7
Thai Coconut Chicken Soup;Make and share this Thai Coconut Chicken Soup recipe from Food.com.;Chicken Breast;368.9;27.2;22.1;75.5;507.1;6.3;0.9;0.9;27.9
Salt Cod Chowder;Salt cod is used for cooking in Scandinavian and Spanish cooking, but isn't very well known in the United States.  Here's a tasty chowder to introduce it to the uninitiated.;Chowders;295.6;5.0;2.4;99.2;4410.7;20.8;2.4;2.3;40.7
Thai Fried Bananas;Make and share this Thai Fried Bananas recipe from Food.com.;Dessert;190.4;6.2;3.8;15.3;42.8;36.8;4.0;21.3;1.6
Thai Beef Salad;Make and share this Thai Beef Salad recipe from Food.com.;Meat;1259.9;122.9;38.9;112.4;862.8;26.5;12.7;11.1;18.2
Feijoada (Brazilian Bean Soup);Make and share this Feijoada (Brazilian Bean Soup) recipe from Food.com.;Poultry;286.9;5.8;1.8;15.7;436.8;43.2;10.0;3.1;16.6
Thai Coconut Custard;Make and share this Thai Coconut Custard recipe from Food.com.;Dessert;419.3;25.2;18.4;279.0;408.6;40.4;0.0;37.7;11.1
Feijoada (Brazilian Bean Soup) II;Make and share this Feijoada (Brazilian Bean Soup) II recipe from Food.com.;Pork;293.8;15.5;5.4;58.5;938.3;12.6;3.9;1.3;25.2
Bean Curd With Broccoli;Make and share this Bean Curd With Broccoli recipe from Food.com.;Soy/Tofu;465.6;39.2;5.2;0.0;1627.9;13.7;3.1;2.4;12.9
Cauliflower and Potatoes;Make and share this Cauliflower and Potatoes recipe from Food.com.;Potato;698.2;41.7;6.2;0.0;29.4;75.7;9.6;3.4;9.0
Curried Vegetables;Make and share this Curried Vegetables recipe from Food.com.;Cauliflower;241.8;15.0;6.1;27.5;869.0;21.6;3.1;5.6;6.4
Scrambled Tofu on Toast;"Tofu is a wonderfully versatile food!  I make tofu ""egg salad"" fairly often, and it's delicious.  So scrambled tofu on toast makes perfect sense to me.  :)";Breakfast;352.7;21.0;6.3;15.3;353.6;28.9;5.4;4.0;17.3
Crisp Sauteed Cucumbers With Lemon;Make and share this Crisp Sauteed Cucumbers With Lemon recipe from Food.com.;Vegetable;299.6;6.5;3.8;15.3;1798.6;53.2;2.7;2.4;7.4
Tutti Frutti Trifle;This is one of the Zaar recipes that I adopted.  I hope to make this soon as it looks like a dish my family would enjoy.  Iâll edit the recipe accordingly if needed.;Dessert;184.2;3.6;3.0;0.0;52.3;36.5;2.5;28.1;3.9
Creamed Cucumbers;Make and share this Creamed Cucumbers recipe from Food.com.;Vegetable;357.1;33.8;21.1;112.0;3618.4;13.6;1.8;5.6;3.3
Virginia Fried Soft Shell Crabs;Make and share this Virginia Fried Soft Shell Crabs recipe from Food.com.;Lunch/Snacks;137.8;2.8;0.9;96.2;953.2;15.1;0.6;0.3;12.1
Blue Jimmy Pillows;Make and share this Blue Jimmy Pillows recipe from Food.com.;< 60 Mins;462.0;34.3;5.6;264.4;322.1;25.8;1.0;1.2;12.5
Apricot Salsa;Make and share this Apricot Salsa recipe from Food.com.;Sauces;40.8;0.2;0.0;0.0;2.2;5.7;1.3;3.7;0.8
English Trifle - Guy Attwood;Make and share this English Trifle - Guy Attwood recipe from Food.com.;Dessert;674.0;40.4;23.6;377.3;212.0;66.7;2.1;35.7;7.6
"Rote Gr&uuml;tze";"Make and share this Rote Gr&uuml;tze recipe from Food.com.";Dessert;406.0;11.8;6.9;40.8;18.6;70.6;6.6;50.7;3.1
Twice Baked Ham and Cheese Potatoes;Make and share this Twice Baked Ham and Cheese Potatoes recipe from Food.com.;Potato;456.0;25.2;15.1;80.7;611.7;41.6;4.7;3.1;17.1
Rock Candy;Make and share this Rock Candy recipe from Food.com.;Candy;1548.0;0.0;0.0;0.0;7.5;399.9;0.0;399.2;0.0
Twice-Baked Sweet Potatoes;Make and share this Twice-Baked Sweet Potatoes recipe from Food.com.;Potato;144.0;2.6;1.5;6.6;179.5;28.2;4.0;5.9;2.6
Rock Candy II;Make and share this Rock Candy II recipe from Food.com.;Candy;1548.0;0.0;0.0;0.0;11.1;399.9;0.0;399.2;0.0
Curry Curlies;Make and share this Curry Curlies recipe from Food.com.;Lunch/Snacks;6831.4;529.1;194.3;395.4;4241.2;465.0;23.6;16.1;73.2
Florentiner;Make and share this Florentiner recipe from Food.com.;Dessert;2129.0;153.8;62.9;131.7;642.9;196.6;31.9;125.5;42.7
Homemade Butter;Make and share this Homemade Butter recipe from Food.com.;Very Low Carbs;68.4;7.3;4.6;27.2;7.5;0.6;0.0;0.0;0.4
Homemade Butter II;Make and share this Homemade Butter II recipe from Food.com.;Very Low Carbs;615.8;66.0;41.1;244.5;71.5;5.0;0.0;0.2;3.7
Florentines;Make and share this Florentines recipe from Food.com.;Dessert;36.9;2.2;1.5;7.0;23.3;4.2;0.2;2.5;0.4
How to Make Yeast;Make and share this How to Make Yeast recipe from Food.com.;Yeast Breads;387.0;0.0;0.0;0.0;136.2;100.0;0.0;99.8;0.0
Thai Citrus Chicken Salad;This is a healthy and delicious summer salad.  Great for lunch while sitting out in the garden with a a nice cold glass of white wine. :);Chicken;311.2;3.7;1.0;73.1;415.4;40.9;8.6;26.9;32.7
Chutney Ham Salad;This is one of the Zaar recipes that I adopted.  I hope to make this soon as it looks like a dish my family would enjoy.  Iâll edit the recipe accordingly if needed.;Chutneys;373.8;25.5;14.8;91.4;1267.7;11.8;0.5;8.4;24.7
Dolmades with Yogurt-Mint Sauce;Make and share this Dolmades with Yogurt-Mint Sauce recipe from Food.com.;White Rice;89.0;5.0;0.8;1.4;432.3;8.6;0.4;1.8;3.0
Grand Marnier Cake II;Make and share this Grand Marnier Cake II recipe from Food.com.;Dessert;642.2;34.6;19.2;153.0;423.6;77.5;1.6;51.2;8.2
French Pecan Pie II;Make and share this French Pecan Pie II recipe from Food.com.;Pie;304.8;14.1;1.3;0.0;102.6;43.3;2.0;37.1;4.1
Fish Chowder;This is one of the recipes I adopted -- it's gotten 5 stars all around, so I won't change it, but I wouldn't use margarine or cooking oil -- I would use either light olive oil or unsalted butter.  I also might substitute half and half for the milk, to be a little decadent once in a while...;Chowders;261.0;8.8;2.8;57.4;769.5;20.7;2.8;2.7;24.4
Drunken Chicken;Make and share this Drunken Chicken recipe from Food.com.;Whole Chicken;1042.9;54.4;15.6;243.8;551.7;3.8;0.2;0.7;62.7
Drunken Chicken II;Make and share this Drunken Chicken II recipe from Food.com.;Chicken Breast;352.1;13.4;3.9;92.8;7090.3;4.3;0.4;1.3;30.6
Curry Chicken;Make and share this Curry Chicken recipe from Food.com.;Chicken;284.4;15.3;3.8;56.6;61.3;20.4;2.5;2.6;15.9
Curried Chicken;Make and share this Curried Chicken recipe from Food.com.;Whole Chicken;604.2;44.8;11.2;170.1;162.5;5.6;1.7;1.7;43.0
Cheesy Stuffed Acorn Squash;Great vegetarian version of stuffed acorn squash, full of stuff most people would have in the fridge.;Vegetable;304.8;20.8;10.5;44.1;292.5;27.2;4.1;2.2;7.4
Acorn, Butternut Squash and Parsnips Gratin;Make and share this Acorn, Butternut Squash and Parsnips Gratin recipe from Food.com.;Vegetable;152.8;3.5;0.8;2.0;305.9;27.9;4.9;3.6;4.9
Chicken Caesar Wraps;Make and share this Chicken Caesar Wraps recipe from Food.com.;Lunch/Snacks;357.6;26.2;9.8;108.1;241.0;2.8;0.1;2.1;27.1
Spicy Acorn Squash Soup;Make and share this Spicy Acorn Squash Soup recipe from Food.com.;Low Protein;156.7;5.4;1.0;0.0;248.6;23.2;2.4;2.4;6.1
Ken's White Chili;Make and share this Ken's White Chili recipe from Food.com.;Tex Mex;459.2;19.3;11.3;116.1;672.8;23.8;6.3;3.8;47.8
White Chili;Make and share this White Chili recipe from Food.com.;Tex Mex;485.5;14.6;8.3;101.5;705.3;38.2;12.3;1.5;50.8
Light Easy Crisp;Make and share this Light Easy Crisp recipe from Food.com.;Dessert;195.9;6.5;3.8;15.2;46.9;33.3;2.4;20.5;2.8
Giant Baked Hero;Make and share this Giant Baked Hero recipe from Food.com.;Lunch/Snacks;313.8;23.6;9.9;72.7;1528.6;4.7;0.8;1.4;20.8
Brown Sugar Shortbread;Make and share this Brown Sugar Shortbread recipe from Food.com.;Bar Cookie;73.0;4.5;2.8;11.6;32.3;7.7;0.2;2.5;0.7
Pork Sate With Peanut Dipping Sauce;Make and share this Pork Sate With Peanut Dipping Sauce recipe from Food.com.;Pork;236.2;13.3;3.0;36.9;422.9;12.9;2.0;7.4;18.7
Eight Layer Shortbread Slices;Make and share this Eight Layer Shortbread Slices recipe from Food.com.;Bar Cookie;107.2;6.5;4.1;16.9;58.3;11.3;0.4;3.3;1.1
Oktoberfest Spinach Strudel;Make and share this Oktoberfest Spinach Strudel recipe from Food.com.;Vegetable;233.2;4.2;1.2;1.9;453.3;38.9;4.7;4.8;11.1
Thai Fish Curry;Make and share this Thai Fish Curry recipe from Food.com.;Bass;498.5;35.4;23.3;72.3;311.9;12.8;1.6;1.4;35.5
Spinach Phyllo Casserole;The layers of this low-fat phyllo pastry are coated with a mixture of egg whites  and olive oil instead of melted butter.;Vegetable;140.6;6.1;1.9;6.3;319.9;8.7;1.1;0.8;12.7
Mango Salsa;Make and share this Mango Salsa recipe from Food.com.;Sauces;100.4;0.5;0.1;0.0;5.8;25.8;3.2;21.5;1.3
Grilled Pineapple Salsa;Make and share this Grilled Pineapple Salsa recipe from Food.com.;Sauces;86.2;2.5;0.3;0.0;4.5;16.7;2.2;10.9;1.6
Country Fried Yellow Squash;Adopted Recipe...I worked through all my adopted recipes and made changes to suit my tastes and cooking habits. I do not cook with bacon grease, so I changed the recipe from bacon grease to butter. (Note added 2/5/06).;Vegetable;67.7;5.4;3.3;15.9;325.4;4.5;0.8;3.6;1.2
